"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"

"Fri Apr 22 16:53:58 +0000 2016","723555455658807300","@ghostbabeI undertale ripped off mgs. flowey is kaz, sans is ocelot, papyrus is dd. frisk is clearly venom snake, chara is bb. unbelievable.","3185543842","Courtney","ludleth","null","135","132","Mon Apr 20 03:44:30 +0000 2015","Eastern Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/723370109708828677/yHOYnlr8_normal.jpg","null","null","null"

"Fri Apr 22 16:54:16 +0000 2016","723555530350825500","i just saw an undertale/mystery skulls crossover and i want to rip my eyes out","4626023173","elsa","ichimxtsus","low self esteem city","14","42","Mon Dec 21 23:35:46 +0000 2015","Pacific Time (US & Canada)","642D8B","http://pbs.twimg.com/profile_images/723172673161809921/sdV6GD1J_normal.jpg","null","null","null"

"Fri Apr 22 16:53:59 +0000 2016","723555461316919300","saika ta fazendo bullying comigo porque sou lerda até mesmo pra jogar undertale","2910093034","tanuki","youthfulee","null","891","581","Sun Dec 07 23:20:41 +0000 2014","Mid-Atlantic","CCCCCC","http://pbs.twimg.com/profile_images/716417803100819457/iPe6AVBD_normal.jpg","null","null","null"

"Fri Apr 22 16:54:08 +0000 2016","723555499455582200","#homestuck I felt spacey vibes and soo https://t.co/DbKs2ZllnO","3240677366","PTan","TantasticG","null","48","89","Tue Jun 09 10:18:57 +0000 2015","Pacific Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/719561370329452545/5DGXTpD9_normal.jpg","null","null","null"

"Fri Apr 22 16:54:21 +0000 2016","723555555013464000","RT @Miss_Doitsu: Me encanta undertale https://t.co/WhxdEFB2JO","3060364697","Chechu ✨","TheCherryflower","Paraguay","1046","1644","Wed Feb 25 00:40:08 +0000 2015","null","000000","http://pbs.twimg.com/profile_images/720920995608018944/k83-WK6g_normal.jpg","null","null","null"

"Fri Apr 22 16:54:54 +0000 2016","723555691143815200","@Chandi_09 @Val_ey c'est ce que je disait au début, les modeles sont pas fameux https://t.co/nXJEQMUUBR","3742217296","Djebrayass","Djebrayass","Sous ton lit","216","466","Tue Sep 22 20:13:15 +0000 2015","Pacific Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/723509546472378368/cVOlCII3_normal.jpg","null","null","null"

"Fri Apr 22 17:20:35 +0000 2016","723562154704642000","＠cat https://t.co/BXreqeeXbk April 23, 2016 at 02:06AM #おーにょんはキチガイ","538793565","‍⏰☄おーにょん。☂️⚡️","_Onyon_","兵庫","40656","333","Wed Mar 28 04:09:33 +0000 2012","Irkutsk","131516","http://pbs.twimg.com/profile_images/721733618205200384/Wz92JxoS_normal.jpg","null","null","null"

"Fri Apr 22 17:20:35 +0000 2016","723562154956349400","RT @bidtosaveastray: EXCITING #NEWS - Carmen Eli has been #adopted in the #UK &amp; her best friend, the disabled cat is coming with her. https…","716722400","Denise Housden","DeniseHousden","Luton, Bedfordshire","295","623","Wed Jul 25 20:37:09 +0000 2012","null","000000","http://pbs.twimg.com/profile_images/597871700777263104/CIjOceBi_normal.jpg","null","null","null"

"Fri Apr 22 17:20:36 +0000 2016","723562157426749400","RT @EditorMark: You "lay" something. But, annoyingly, "lay" also is the past tense of "lie." Lay an object down. The cat lay in waiting.","10682742","Mike Reader","mreader","Charlotte, N.C.","1193","1279","Wed Nov 28 18:54:00 +0000 2007","Eastern Time (US & Canada)","ABB8C2","http://pbs.twimg.com/profile_images/575901438934560769/ApBdsCts_normal.jpg","null","null","null"

"Fri Apr 22 17:20:35 +0000 2016","723562156877291500","＠cat https://t.co/QgvqEmb152 April 23, 2016 at 02:06AM #おーにょんはキチガイ","538793565","‍⏰☄おーにょん。☂️⚡️","_Onyon_","兵庫","40656","333","Wed Mar 28 04:09:33 +0000 2012","Irkutsk","131516","http://pbs.twimg.com/profile_images/721733618205200384/Wz92JxoS_normal.jpg","null","null","null"

"Fri Apr 22 17:20:36 +0000 2016","723562158475214800","RT @709_naoq: 我はアルファにしてオメガにゃり🎶
本日もありがとうございました
(´pゝω･)ﾆｬﾝ
おやすみなさい( ´ρ｀)。o ○

#ねこ #猫  #cat https://t.co/0XsTZn58ho","2931465498","ぷじ","pujiko1218","null","856","497","Mon Dec 15 18:44:16 +0000 2014","null","C0DEED","http://pbs.twimg.com/profile_images/559875451510747136/Ew-zlpkK_normal.jpeg","null","null","null"
